ID,Pretty Label,Concentration,Credits,Requirement,Dependencies,Unit,Notes
ROOT,Matriculation,Core,0,,,,
Introsem,Introductory Seminar,Core,1,1,ROOT,AI,
Sampler,Sampler,Core,2,1,Introsem,All,
,,,,,,,
,,,,,,,
,,,,,,,
Programming1,Intro to Programming,Core,4,1,ROOT,CS,
Programming2,Continuation of Programming,Core,4,1,Programming1,CS,
,,,,,,,
Fairness,AI Fairness,Core,3,1,"Introsem,Programming1",INFO,
,,,,,,,
Ethics,AI's Ethical Frontiers,Core,3,1,Introsem,PHIL,
,,,,,,,
Linalg,Linear Algebra,Core,3,1,Calc2,MATH,
Discrete,Discrete Math,Core,4,1,"Calc1,Programming1","MATH,CS",
,,,,,,,
,,,,,,,
Classification,Classification / Data Science,Core,3,1,"Programming2,Linalg","CS,INFO",
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Algorithms,Algorithms,Core,3,1,Discrete,CS,
,,,,,,,
Calc1,Single Variable Calculus,Core,4,1,ROOT,MATH,
Calc2,Multivariable Calculus,Core,4,1,Calc1,MATH,
Gofai,Foundations of Artificial Intelligence Algorithms,Core,3,1,"Calc1,Programming1",CS,Need to reexamine requirement of 351
,,,,,,,
,,,,,,,
Compgraphs,Systems and Programming Languages for Automatic Optimization of AI Models,Core,4,1,"Linalg,Calc1,Programming2",CS,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Neural,Neural Networks,Core,3,1,"Algorithms,Compgraphs,Linalg",CS,
,,,,,,,
,,,,,,,
,,,,,,,
UnspecializedElective,General AI Electives,Unspecialized,3,5,Compgraphs,,
UnspecializedRequired,General AI Required,Unspecialized,3,1,Compgraphs,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
GenAIRequired,Gen AI Required,GenAI,3,4,Compgraphs,,
GenAIElective,Gen AI Electives,GenAI,3,2,Compgraphs,,
